[ClickObjectLog] [2021-12-09T14:01:12.3801874] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:12.3801874] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:12.9831906] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:12.9831906] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:13.5843538] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:13.5843538] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:13.5853511] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:14.1865609] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:14.1865609] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:14.7885564] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:14.7895537] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:14.7895537] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:15.3897526] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:15.3897526] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:15.990949] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:15.9919424] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:15.9919424] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:16.594211] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:17.1952147] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:17.1952147] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:17.1952147] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:17.7968038] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:17.7968038] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:18.3979969] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:18.3979969] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:18.999165] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:18.999165] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:19.0001625] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:19.6003439] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:19.6013374] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:20.2013435] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:20.202343] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
