[ClickObjectLog] [2021-11-19T22:27:18.5608411] Clicked object WorldObject{x=3097, y=3485, height=0, id=23709, type=10, face=0} option 1
[ClickObjectLog] [2021-11-19T22:27:20.9678647] Clicked object WorldObject{x=3102, y=3486, height=0, id=6097, type=10, face=0} option 1
[ClickObjectLog] [2021-11-19T22:27:36.009989] Clicked object WorldObject{x=3094, y=3494, height=0, id=10061, type=0, face=2} option 1
[ClickObjectLog] [2021-11-19T22:29:00.2216868] Clicked object WorldObject{x=3077, y=3495, height=0, id=29064, type=10, face=3} option 1
[ClickObjectLog] [2021-11-19T22:29:49.5561051] Clicked object WorldObject{x=3097, y=3485, height=0, id=23709, type=10, face=0} option 1
[ClickObjectLog] [2021-11-19T22:30:19.6333597] Clicked object WorldObject{x=3092, y=3480, height=0, id=25808, type=10, face=0} option 2
[ClickObjectLog] [2021-11-19T22:31:23.3908965] Clicked object WorldObject{x=3091, y=3480, height=0, id=25808, type=10, face=0} option 2
[ClickObjectLog] [2021-11-19T22:31:35.4179987] Clicked object WorldObject{x=3093, y=3480, height=0, id=25808, type=10, face=0} option 2
[ClickObjectLog] [2021-11-19T22:32:10.3133046] Clicked object WorldObject{x=3097, y=3492, height=0, id=10060, type=0, face=1} option 1
[ClickObjectLog] [2021-11-19T22:33:11.6838054] Clicked object WorldObject{x=3096, y=3492, height=0, id=10060, type=0, face=1} option 1
[ClickObjectLog] [2021-11-19T22:34:29.8774541] Clicked object WorldObject{x=3092, y=3480, height=0, id=25808, type=10, face=0} option 2
[ClickObjectLog] [2021-11-19T22:34:45.5255883] Clicked object WorldObject{x=3092, y=3480, height=0, id=25808, type=10, face=0} option 2
[ClickObjectLog] [2021-11-19T22:35:07.1847716] Clicked object WorldObject{x=3092, y=3480, height=0, id=25808, type=10, face=0} option 2
[ClickObjectLog] [2021-11-19T22:36:08.5522759] Clicked object WorldObject{x=3102, y=3508, height=0, id=10355, type=10, face=3} option 2
[ClickObjectLog] [2021-11-20T22:48:10.8474919] Clicked object WorldObject{x=3086, y=3493, height=0, id=36062, type=10, face=0} option 1
[ClickObjectLog] [2021-11-20T23:01:56.4043773] Clicked object WorldObject{x=3094, y=3494, height=0, id=10061, type=0, face=2} option 1
[ClickObjectLog] [2021-11-20T23:03:57.3103707] Clicked object WorldObject{x=3094, y=3494, height=0, id=10061, type=0, face=2} option 1
[ClickObjectLog] [2021-11-20T23:04:09.9404764] Clicked object WorldObject{x=3094, y=3494, height=0, id=10061, type=0, face=2} option 1
[ClickObjectLog] [2021-11-20T23:04:17.7635431] Clicked object WorldObject{x=3094, y=3494, height=0, id=10061, type=0, face=2} option 1
[ClickObjectLog] [2021-11-20T23:04:25.5776073] Clicked object WorldObject{x=3094, y=3494, height=0, id=10061, type=0, face=2} option 1
[ClickObjectLog] [2021-11-20T23:04:29.7876393] Clicked object WorldObject{x=3094, y=3494, height=0, id=10061, type=0, face=2} option 1
[ClickObjectLog] [2021-11-20T23:04:44.226761] Clicked object WorldObject{x=3094, y=3494, height=0, id=10061, type=0, face=2} option 1
[ClickObjectLog] [2021-11-23T22:14:04.0200497] Clicked object WorldObject{x=3077, y=3495, height=0, id=29064, type=10, face=3} option 1
[ClickObjectLog] [2021-11-23T22:14:08.8452273] Clicked object WorldObject{x=3077, y=3495, height=0, id=29064, type=10, face=3} option 1
[ClickObjectLog] [2021-11-23T22:14:13.091412] Clicked object WorldObject{x=3077, y=3495, height=0, id=29064, type=10, face=3} option 1
[ClickObjectLog] [2021-11-23T22:14:16.7260314] Clicked object WorldObject{x=3077, y=3495, height=0, id=29064, type=10, face=3} option 1
[ClickObjectLog] [2021-11-23T22:14:20.3523149] Clicked object WorldObject{x=3077, y=3495, height=0, id=29064, type=10, face=3} option 1
[ClickObjectLog] [2021-11-23T23:02:14.6657875] Clicked object WorldObject{x=3096, y=3492, height=0, id=10060, type=0, face=1} option 1
[ClickObjectLog] [2021-11-23T23:02:20.7325988] Clicked object WorldObject{x=3096, y=3492, height=0, id=10060, type=0, face=1} option 1
[ClickObjectLog] [2021-11-23T23:03:29.0947773] Clicked object WorldObject{x=3091, y=3521, height=0, id=23271, type=10, face=0} option 1
[ClickObjectLog] [2021-11-23T23:03:38.7952594] Clicked object WorldObject{x=3091, y=3521, height=0, id=23271, type=10, face=0} option 1
[ClickObjectLog] [2021-11-23T23:05:42.2335822] Clicked object WorldObject{x=3086, y=3493, height=0, id=36062, type=10, face=0} option 1
[ClickObjectLog] [2021-11-27T19:49:19.5386935] Clicked object WorldObject{x=3086, y=3493, height=0, id=36062, type=10, face=0} option 1
[ClickObjectLog] [2021-11-27T19:49:36.3868328] Clicked object WorldObject{x=3102, y=3486, height=0, id=6097, type=10, face=0} option 1
[ClickObjectLog] [2021-11-27T20:51:07.3612639] Clicked object WorldObject{x=3094, y=3495, height=0, id=10061, type=0, face=2} option 1
[ClickObjectLog] [2021-11-27T21:28:49.1332684] Clicked object WorldObject{x=3077, y=3495, height=0, id=29064, type=10, face=3} option 1
[ClickObjectLog] [2021-11-28T13:49:51.6248428] Clicked object WorldObject{x=3077, y=3495, height=0, id=29064, type=10, face=3} option 1
[ClickObjectLog] [2021-11-29T18:45:27.9654446] Clicked object WorldObject{x=3086, y=3493, height=0, id=36062, type=10, face=0} option 1
[ClickObjectLog] [2021-11-29T20:48:24.3152742] Clicked object WorldObject{x=3094, y=3495, height=0, id=10061, type=0, face=2} option 1
[ClickObjectLog] [2021-11-29T20:49:27.9684113] Clicked object WorldObject{x=3094, y=3494, height=0, id=10061, type=0, face=2} option 1
[ClickObjectLog] [2021-11-29T20:49:49.1826752] Clicked object WorldObject{x=3091, y=3505, height=0, id=30720, type=10, face=0} option 1
[ClickObjectLog] [2021-11-29T20:50:04.937088] Clicked object WorldObject{x=3086, y=3493, height=0, id=36062, type=10, face=0} option 1
[ClickObjectLog] [2021-11-29T20:50:04.937088] Clicked object WorldObject{x=3086, y=3493, height=0, id=36062, type=10, face=0} option 1
[ClickObjectLog] [2021-11-29T20:50:24.35936] Clicked object WorldObject{x=3036, y=6066, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-11-29T20:50:38.809662] Clicked object WorldObject{x=3036, y=6066, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-11-29T20:50:41.2179249] Clicked object WorldObject{x=3036, y=6066, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-11-29T20:51:06.6426463] Clicked object WorldObject{x=3036, y=6066, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-11-29T20:51:07.24465] Clicked object WorldObject{x=3036, y=6066, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-11-29T20:51:07.8425879] Clicked object WorldObject{x=3036, y=6066, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-11-29T20:51:07.8425879] Clicked object WorldObject{x=3036, y=6066, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-11-29T20:51:09.6519795] Clicked object WorldObject{x=3039, y=6068, height=0, id=30087, type=10, face=3} option 1
[ClickObjectLog] [2021-11-29T20:51:16.9109212] Clicked object WorldObject{x=3039, y=6068, height=0, id=30087, type=10, face=3} option 1
[ClickObjectLog] [2021-11-29T20:51:48.3679783] Clicked object WorldObject{x=3033, y=6065, height=0, id=36201, type=10, face=0} option 1
[ClickObjectLog] [2021-11-29T20:51:51.3811814] Clicked object WorldObject{x=3033, y=6062, height=0, id=36201, type=10, face=0} option 1
[ClickObjectLog] [2021-11-29T20:51:57.4144262] Clicked object WorldObject{x=3033, y=6065, height=0, id=36201, type=10, face=0} option 1
[ClickObjectLog] [2021-11-29T20:52:03.4491934] Clicked object WorldObject{x=3298, y=5185, height=0, id=29778, type=10, face=0} option 1
[ClickObjectLog] [2021-11-29T20:52:05.9007844] Clicked object WorldObject{x=3298, y=5185, height=0, id=29778, type=10, face=0} option 1
[ClickObjectLog] [2021-11-29T20:52:08.9573353] Clicked object WorldObject{x=3298, y=5185, height=0, id=29778, type=10, face=0} option 1
[ClickObjectLog] [2021-11-29T20:52:10.7572952] Clicked object WorldObject{x=3298, y=5185, height=0, id=29778, type=10, face=0} option 1
[ClickObjectLog] [2021-11-29T20:52:18.0277712] Clicked object WorldObject{x=3298, y=5185, height=0, id=29778, type=10, face=0} option 1
[ClickObjectLog] [2021-11-29T20:52:43.4998859] Clicked object WorldObject{x=3096, y=3492, height=0, id=10060, type=0, face=1} option 1
[ClickObjectLog] [2021-11-29T20:56:21.6016474] Clicked object WorldObject{x=3096, y=3492, height=0, id=10060, type=0, face=1} option 1
